variant,horizon,scatter_observations,correlation,slope,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate
all_resid_momentum_no_flow_h20,1,129794,0.002154699102682402,-1.8215057059140846e-06,129794,-0.036430114118281676,0.0,6.3629213354211505,-2.0626772848408472,0.4552829868869131
all_resid_momentum_no_flow_h20,2,129794,0.0024744265150913316,-2.702377812696505e-06,129794,-0.0540475562539301,0.0,8.763764652920992,-2.221839402425075,0.4843367181841996
all_resid_momentum_no_flow_h20,5,129794,0.003627234879327606,-3.6232274596649074e-06,129794,-0.07246454919329827,0.0,13.339166164842245,-1.9571504887004378,0.4940212952832951
all_resid_momentum_no_flow_h20,10,129794,0.005375577410651968,-2.4165761098083455e-06,129794,-0.04833152219616715,0.0,18.129051088870057,-0.9604675774592735,0.49328936622648195
all_resid_momentum_no_flow_h20,20,129794,0.010427784076132965,1.566866818088991e-06,129794,0.03133733636177943,0.0,24.436882358988523,0.4620017168342076,0.487873091206065
all_resid_momentum_no_flow_h20,50,129794,0.01614860002305261,6.787320623779346e-07,129794,0.013574641247558129,0.0,36.72318546695557,0.13317273626582302,0.4786738986393824
pa_pl_resid_momentum_no_flow_h20,1,66117,,,66117,-0.07215065843858356,0.0,7.0860119596297935,-2.6181527906213615,0.4544065822708229
pa_pl_resid_momentum_no_flow_h20,2,66117,,,66117,-0.1180675877506949,0.0,9.542368416054591,-3.18149379132381,0.4826444031035891
pa_pl_resid_momentum_no_flow_h20,5,66117,,,66117,-0.18023772700183416,-0.07419164410937817,14.312392257626344,-3.238098394104281,0.4906302463814148
pa_pl_resid_momentum_no_flow_h20,10,66117,,,66117,-0.21042260032957325,-0.127545274873353,19.47033079795473,-2.7789173021331126,0.48778680218400716
pa_pl_resid_momentum_no_flow_h20,20,66117,,,66117,-0.3207931246138692,-0.13559823966086126,26.329837165079113,-3.1328056132012314,0.4812226810048853
pa_pl_resid_momentum_no_flow_h20,50,66117,,,66117,-0.46338097816127916,0.0,39.81818687163734,-2.9923562145410068,0.4672474552686903
pa_pl_resid_momentum_md_q95_h20,1,26157,,,26157,-0.023695022251291276,0.0,7.442245776885655,-0.514928676844782,0.459188744886646
pa_pl_resid_momentum_md_q95_h20,2,26157,,,26157,-0.0398441686888801,0.0,9.993666944175095,-0.6448131186372921,0.4845739190274114
pa_pl_resid_momentum_md_q95_h20,5,26157,,,26157,-0.10367269661735014,-0.11346716164234438,14.922063298304852,-1.1236459307615776,0.4894292158886723
pa_pl_resid_momentum_md_q95_h20,10,26157,,,26157,-0.23850461131431178,-0.32300923018313554,20.206752254424046,-1.9089485770862868,0.48419161218794204
pa_pl_resid_momentum_md_q95_h20,20,26157,,,26157,-0.33470291213710457,-0.3963784635324652,27.420780864867137,-1.974120412367459,0.4749397866727836
pa_pl_resid_momentum_md_q95_h20,50,26157,,,26157,0.01577428757662728,0.0,39.8124605157868,0.06408032434639226,0.4638911190121191
pa_pl_resid_momentum_md_q99_h20,1,9439,,,9439,-0.11165859480915079,0.0,7.643287459435496,-1.4193024670931667,0.4570399406716813
pa_pl_resid_momentum_md_q99_h20,2,9439,,,9439,-0.22306971211678886,0.0,10.390871524524913,-2.085698960640566,0.48500900519122786
pa_pl_resid_momentum_md_q99_h20,5,9439,,,9439,-0.5407814823563711,-0.2287970649628157,15.102802737156246,-3.478782326193121,0.48628032630575274
pa_pl_resid_momentum_md_q99_h20,10,9439,,,9439,-0.9949253960816818,-0.5429020511386422,19.97042996148366,-4.840231061894222,0.47600381396334357
pa_pl_resid_momentum_md_q99_h20,20,9439,,,9439,-1.3545680429091174,-0.8953678760612038,25.798025260490444,-5.101258775201376,0.4562983366882085
pa_pl_resid_momentum_md_q99_h20,50,9439,,,9439,-0.6006470663312957,0.0,37.57488304642896,-1.5530474175646847,0.45502701557368364
pa_pl_resid_momentum_md_q99_h50,1,19070,,,19070,-0.03296545285640402,0.0,7.326095554178036,-0.6213865001512866,0.4549029889879392
pa_pl_resid_momentum_md_q99_h50,2,19070,,,19070,-0.05090144734410987,0.0,9.806320212641612,-0.7168023284407556,0.4885159937073938
pa_pl_resid_momentum_md_q99_h50,5,19070,,,19070,-0.15042585185301277,0.0,14.208416284191326,-1.4620160937126427,0.49108547456738333
pa_pl_resid_momentum_md_q99_h50,10,19070,,,19070,-0.22855366163622268,-0.04917629844058968,18.95545068667241,-1.6650581883421747,0.48458311484006295
pa_pl_resid_momentum_md_q99_h50,20,19070,,,19070,-0.35725919813122003,0.0,24.854296584655785,-1.98498527395453,0.4719979024646041
pa_pl_resid_momentum_md_q99_h50,50,19070,,,19070,0.23216205800632686,0.0,35.84547823162675,0.894400869111677,0.4628211851074987
pa_pl_resid_momentum_md_q99_z2_5_h20,1,5241,,,5241,-0.09375591090929478,0.0,8.138597060883319,-0.8339810648179314,0.4470520892959359
pa_pl_resid_momentum_md_q99_z2_5_h20,2,5241,,,5241,-0.14981067190134453,0.0,11.155855419803713,-0.9721806091888351,0.4785346307956497
pa_pl_resid_momentum_md_q99_z2_5_h20,5,5241,,,5241,-0.41293080190174664,-0.19418562772682835,15.836776339145786,-1.8876330651248006,0.48941041785918715
pa_pl_resid_momentum_md_q99_z2_5_h20,10,5241,,,5241,-0.8776228393396822,-0.47052399543084933,20.879821016534308,-3.042903818149674,0.4785346307956497
pa_pl_resid_momentum_md_q99_z2_5_h20,20,5241,,,5241,-0.6690479059787265,-0.5040843879736134,27.424692562685355,-1.7661294316225284,0.4678496470139286
pa_pl_resid_momentum_md_q99_z2_5_h20,50,5241,,,5241,0.7404588568873145,0.0,41.440943791033234,1.2935355667042863,0.4663232207593971
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,1,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,2,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,5,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,10,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,20,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,50,0,,,0,,,,,
