root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
SR3,Three-Month SOFR,Rates,low,0,same_vol_bar,95,1.502503502200256,1.4436816344660808,0.021105488601083633,0.14527728177896002,0.3894736842105263
SR3,Three-Month SOFR,Rates,high,0,same_vol_bar,95,7.36888801420379,4.5970292088634634,0.3615533919618893,0.6012930998788272,0.6105263157894737
SR3,Three-Month SOFR,Rates,spread,0,same_vol_bar,95,2.606263294857534,2.5756372171491564,0.09126604847740472,0.3021027118008125,0.47368421052631576
SR3,Three-Month SOFR,Rates,low,1,next_1_vol_bar,94,1.5724854019174643,1.6095427751926439,0.02136325189750643,0.1461617319872286,0.40425531914893614
SR3,Three-Month SOFR,Rates,high,1,next_1_vol_bar,94,0.0803114807518905,0.06469836711564719,4.2891266401445804e-05,0.0065491424172476696,0.3404255319148936
SR3,Three-Month SOFR,Rates,spread,1,next_1_vol_bar,94,-1.003472579818502,-1.0565270904413744,0.013096921179360899,-0.11444178074182902,0.32978723404255317
SR3,Three-Month SOFR,Rates,low,3,next_3_vol_bars,92,4.344944297237853,2.5812542901178905,0.05691655705842402,0.23857191171306008,0.5217391304347826
SR3,Three-Month SOFR,Rates,high,3,next_3_vol_bars,92,2.5754197265422034,1.557843485687208,0.01481843196436139,0.12173098194116848,0.4673913043478261
SR3,Three-Month SOFR,Rates,spread,3,next_3_vol_bars,92,-1.5476617509776873,-1.3263252540097408,0.011368655256187354,-0.10662389627183626,0.40217391304347827
SR3,Three-Month SOFR,Rates,low,6,next_6_vol_bars,89,3.9339077963683184,1.3567177994412567,0.023556477069081927,0.15348119451281952,0.5393258426966292
SR3,Three-Month SOFR,Rates,high,6,next_6_vol_bars,89,1.2569265637957037,0.40441212245056773,0.0018354688606542213,0.04284237225754455,0.5955056179775281
SR3,Three-Month SOFR,Rates,spread,6,next_6_vol_bars,89,-1.8156623572898885,-0.8089801314114783,0.008220914261291346,-0.09066925753137672,0.42696629213483145
SR3,Three-Month SOFR,Rates,low,12,next_12_vol_bars,83,13.246375903236352,4.694710395304572,0.1883542654330279,0.4339980016463531,0.6024096385542169
SR3,Three-Month SOFR,Rates,high,12,next_12_vol_bars,83,-7.469857348678257,-2.0846653567060565,0.04004094599049579,-0.20010233879316805,0.4578313253012048
SR3,Three-Month SOFR,Rates,spread,12,next_12_vol_bars,83,-10.846206061783523,-4.937773546549398,0.21236482713605653,-0.4608305839851089,0.3493975903614458
ZQ,30-Day Fed Funds,Rates,low,0,same_vol_bar,42,1.2343799251087249,1.5709858630580638,0.09736953451606434,0.3120409180156741,0.40476190476190477
ZQ,30-Day Fed Funds,Rates,high,0,same_vol_bar,42,1.487950406373261,2.7876288843954518,0.2004804325637276,0.4477504132479697,0.4523809523809524
ZQ,30-Day Fed Funds,Rates,spread,0,same_vol_bar,42,0.5227383507060753,2.1412493631147202,0.02919735749836838,0.1708723426958512,0.42857142857142855
ZQ,30-Day Fed Funds,Rates,low,1,next_1_vol_bar,41,-0.5331041602788296,-1.341364928161363,0.017856197359116033,-0.13362708317970612,0.36585365853658536
ZQ,30-Day Fed Funds,Rates,high,1,next_1_vol_bar,41,0.7146851228094203,1.7095879810688557,0.03754743749394018,0.19377161168225898,0.4146341463414634
ZQ,30-Day Fed Funds,Rates,spread,1,next_1_vol_bar,41,0.7926331823995317,2.126713565626694,0.06819165782545422,0.2611353247369154,0.4146341463414634
ZQ,30-Day Fed Funds,Rates,low,3,next_3_vol_bars,39,-1.8051579454347446,-1.7616259644989525,0.06374656230569997,-0.25248081571814546,0.358974358974359
ZQ,30-Day Fed Funds,Rates,high,3,next_3_vol_bars,39,-0.7164187444983452,-1.0814669547483637,0.011144825763404143,-0.10556905684623728,0.3076923076923077
ZQ,30-Day Fed Funds,Rates,spread,3,next_3_vol_bars,39,0.5828926410445877,0.6796061590398053,0.011516363641611238,0.10731432169850912,0.5897435897435898
ZQ,30-Day Fed Funds,Rates,low,6,next_6_vol_bars,36,-2.726736430456803,-1.1336055748505507,0.07483410492629472,-0.27355822949839126,0.2222222222222222
ZQ,30-Day Fed Funds,Rates,high,6,next_6_vol_bars,36,-1.5725614793336427,-1.380973566653655,0.027141473550211015,-0.16474669511165038,0.3055555555555556
ZQ,30-Day Fed Funds,Rates,spread,6,next_6_vol_bars,36,0.5668050270483099,0.34284749999672165,0.00577300259842628,0.07598027769379426,0.7222222222222222
ZQ,30-Day Fed Funds,Rates,low,12,next_12_vol_bars,30,-0.2378342147727067,-0.09947752494848719,0.000642427369033638,-0.025346150970783077,0.3
ZQ,30-Day Fed Funds,Rates,high,12,next_12_vol_bars,30,-1.2961852931782532,-1.3047795482656739,0.02001427777793907,-0.14147182679932804,0.36666666666666664
ZQ,30-Day Fed Funds,Rates,spread,12,next_12_vol_bars,30,-0.5667432985758768,-0.4096917880561511,0.007220168908554703,-0.0849715770628916,0.6666666666666666
ZT,2-Year U.S. Treasury Note,Rates,low,0,same_vol_bar,118,1.4597849131324547,1.1972238005799543,0.00789664693687786,0.08886307971749557,0.4830508474576271
ZT,2-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,119,10.95043501055186,7.834916394018459,0.31284459953276267,0.5593251286441216,0.7058823529411765
ZT,2-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,119,4.1606635657911015,5.3899766484291165,0.09542574222900313,0.30891057319069426,0.5630252100840336
ZT,2-Year U.S. Treasury Note,Rates,low,1,next_1_vol_bar,117,-2.993262155823364,-2.5508506061699574,0.03265385715349689,-0.18070378289758443,0.4444444444444444
ZT,2-Year U.S. Treasury Note,Rates,high,1,next_1_vol_bar,118,0.6819666593175422,0.38764734048594474,0.0012191549121582934,0.03491639890020743,0.5169491525423728
ZT,2-Year U.S. Treasury Note,Rates,spread,1,next_1_vol_bar,118,2.2833993436911366,2.203176996331154,0.028304060254128904,0.16823810583256404,0.5338983050847458
ZT,2-Year U.S. Treasury Note,Rates,low,3,next_3_vol_bars,115,-7.622164128479843,-3.0808343219651784,0.09211732725203459,-0.3035083643856204,0.41739130434782606
ZT,2-Year U.S. Treasury Note,Rates,high,3,next_3_vol_bars,116,0.25881172862105517,0.10141799224992862,7.303765740862556e-05,0.008546207194343439,0.5172413793103449
ZT,2-Year U.S. Treasury Note,Rates,spread,3,next_3_vol_bars,116,5.286834669071332,2.446121195399244,0.06481350451230228,0.2545849652126032,0.603448275862069
ZT,2-Year U.S. Treasury Note,Rates,low,6,next_6_vol_bars,112,-12.12388125268942,-2.7515168447436604,0.12364878802008317,-0.35163729611644307,0.3482142857142857
ZT,2-Year U.S. Treasury Note,Rates,high,6,next_6_vol_bars,113,5.962760506002226,1.7374799885992294,0.02077829353263405,0.14414677773933712,0.5752212389380531
ZT,2-Year U.S. Treasury Note,Rates,spread,6,next_6_vol_bars,113,11.070688713481584,3.125110077639244,0.15085868413581371,0.3884053090983872,0.7168141592920354
ZT,2-Year U.S. Treasury Note,Rates,low,12,next_12_vol_bars,106,-12.419847499204714,-2.154027489811535,0.07116687502290553,-0.26677120351137096,0.4056603773584906
ZT,2-Year U.S. Treasury Note,Rates,high,12,next_12_vol_bars,107,6.658994456624812,1.0227589118729867,0.01087249624785025,0.10427126280932027,0.5607476635514018
ZT,2-Year U.S. Treasury Note,Rates,spread,12,next_12_vol_bars,107,12.304962371485741,2.185055225661333,0.09106614297306959,0.30177167357634743,0.7009345794392523
ZF,5-Year U.S. Treasury Note,Rates,low,0,same_vol_bar,127,-10.145949708917001,-1.7207017031431673,0.02703817869986158,-0.16443290029632618,0.4881889763779528
ZF,5-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,127,35.29202797255976,11.35732961573274,0.3538152266584651,0.5948236937601471,0.6929133858267716
ZF,5-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,127,22.09996241230957,9.389254766009024,0.28045474905422274,0.5295797853527106,0.6220472440944882
ZF,5-Year U.S. Treasury Note,Rates,low,1,next_1_vol_bar,126,-5.831219789273229,-1.375480959117685,0.008969365731252621,-0.0947067354059487,0.4523809523809524
ZF,5-Year U.S. Treasury Note,Rates,high,1,next_1_vol_bar,126,3.532508013265394,0.6656037550203697,0.0035618113331303825,0.0596809126365398,0.49206349206349204
ZF,5-Year U.S. Treasury Note,Rates,spread,1,next_1_vol_bar,126,4.418488924543787,1.44870448642494,0.011251497326886795,0.10607307540976837,0.5555555555555556
ZF,5-Year U.S. Treasury Note,Rates,low,3,next_3_vol_bars,124,-0.907725412808654,-0.10667494692473087,8.153075237349316e-05,-0.009029438098437854,0.4838709677419355
ZF,5-Year U.S. Treasury Note,Rates,high,3,next_3_vol_bars,124,-5.030262917290766,-0.6485637051623097,0.0027008620500648117,-0.051969818645679504,0.4596774193548387
ZF,5-Year U.S. Treasury Note,Rates,spread,3,next_3_vol_bars,124,-2.0646038137934752,-0.4297144301691053,0.0009230924200688273,-0.030382436045663874,0.47580645161290325
ZF,5-Year U.S. Treasury Note,Rates,low,6,next_6_vol_bars,121,-13.125925618008848,-1.3943472095151699,0.009632472844770423,-0.09814516210578265,0.5371900826446281
ZF,5-Year U.S. Treasury Note,Rates,high,6,next_6_vol_bars,121,-16.406459891140987,-2.289960584506243,0.015994937358071337,-0.12647109297413145,0.49586776859504134
ZF,5-Year U.S. Treasury Note,Rates,spread,6,next_6_vol_bars,121,-2.000972063290207,-0.32860596765684663,0.00048236653816435826,-0.0219628444916474,0.512396694214876
ZF,5-Year U.S. Treasury Note,Rates,low,12,next_12_vol_bars,115,18.679467828242565,1.2076235072711883,0.011105714371293707,0.10538365324514842,0.6173913043478261
ZF,5-Year U.S. Treasury Note,Rates,high,12,next_12_vol_bars,115,-19.24409839519403,-1.080116959373367,0.012214895681970095,-0.11052101918626182,0.4782608695652174
ZF,5-Year U.S. Treasury Note,Rates,spread,12,next_12_vol_bars,115,-18.139535012801744,-1.3967260747850572,0.022298493085655346,-0.14932679962302553,0.4782608695652174
ZN,10-Year U.S. Treasury Note,Rates,low,0,same_vol_bar,126,-3.19519239417743,-0.46186740805406856,0.0014455978401377578,-0.03802101839953594,0.5079365079365079
ZN,10-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,126,59.85196967943274,8.257152450401314,0.40577363465267724,0.637003637864555,0.7222222222222222
ZN,10-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,126,26.66809955198559,4.987329435163998,0.19286501455123906,0.43916399505337306,0.626984126984127
ZN,10-Year U.S. Treasury Note,Rates,low,1,next_1_vol_bar,125,1.3159751563542754,0.2182246651662329,0.00024047663364756833,0.015507309039518738,0.472
ZN,10-Year U.S. Treasury Note,Rates,high,1,next_1_vol_bar,125,-0.9437708775412937,-0.09889924636031178,0.00010115888423001262,-0.010057777300677449,0.488
ZN,10-Year U.S. Treasury Note,Rates,spread,1,next_1_vol_bar,125,-1.0723805521294147,-0.20830380139575427,0.0003109070410428627,-0.01763255628213186,0.472
ZN,10-Year U.S. Treasury Note,Rates,low,3,next_3_vol_bars,123,7.103359634270227,0.48110483295655054,0.0027919624684775712,0.05283902410602913,0.44715447154471544
ZN,10-Year U.S. Treasury Note,Rates,high,3,next_3_vol_bars,123,-0.10064598671348698,-0.007885852431551888,4.5628827860522136e-07,-0.0006754911386791535,0.4878048780487805
ZN,10-Year U.S. Treasury Note,Rates,spread,3,next_3_vol_bars,123,-3.699119179057798,-0.3686464077844598,0.0014707023180923207,-0.03834973687122722,0.5203252032520326
ZN,10-Year U.S. Treasury Note,Rates,low,6,next_6_vol_bars,120,22.433035462230684,1.2193304243100644,0.016947563511419905,0.13018280804860488,0.5416666666666666
ZN,10-Year U.S. Treasury Note,Rates,high,6,next_6_vol_bars,120,3.998946403652758,0.318592591626888,0.00042849099377462174,0.020700024004207035,0.49166666666666664
ZN,10-Year U.S. Treasury Note,Rates,spread,6,next_6_vol_bars,120,-10.11327585116617,-0.91314689693509,0.006556664429645864,-0.08097323279730019,0.475
ZN,10-Year U.S. Treasury Note,Rates,low,12,next_12_vol_bars,114,38.53414730015802,1.5553397649595961,0.028666500307521936,0.1693118433764209,0.5701754385964912
ZN,10-Year U.S. Treasury Note,Rates,high,12,next_12_vol_bars,114,1.5554893184591485,0.07996062265500971,3.716067554149216e-05,0.006095955670884065,0.5614035087719298
ZN,10-Year U.S. Treasury Note,Rates,spread,12,next_12_vol_bars,114,-19.31799801379683,-1.325626089621375,0.01390962662471551,-0.11793908014188981,0.45614035087719296
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,0,same_vol_bar,129,1.9157275296276635,0.36968103415953535,0.0007546601320331803,0.027471078101037532,0.5193798449612403
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,0,same_vol_bar,131,37.242229193260016,8.213400075058935,0.2505127226134578,0.5005124599982079,0.6641221374045801
TN,Ultra 10-Year U.S. Treasury Note,Rates,spread,0,same_vol_bar,131,17.41102872470344,5.357481043428977,0.11080734976177653,0.3328773794684414,0.6030534351145038
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,1,next_1_vol_bar,128,-3.8125417571614277,-0.6627202702123178,0.002928547402829551,-0.054116054945177225,0.46875
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,1,next_1_vol_bar,130,-6.5112061418499305,-0.875945359743218,0.007686925164892777,-0.08767511143359126,0.4461538461538462
TN,Ultra 10-Year U.S. Treasury Note,Rates,spread,1,next_1_vol_bar,130,-1.173327826716009,-0.2265469037420981,0.0005052832547456365,-0.02247850650611819,0.46153846153846156
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,3,next_3_vol_bars,126,-3.357308351242871,-0.26202312104668374,0.0009962022283986904,-0.031562671439516576,0.4444444444444444
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,3,next_3_vol_bars,128,-8.380523056978292,-0.7665747619698124,0.005623200989054222,-0.07498800563459658,0.484375
TN,Ultra 10-Year U.S. Treasury Note,Rates,spread,3,next_3_vol_bars,128,-2.3528260202825035,-0.2333458622489106,0.0008958171318950159,-0.0299302043410164,0.5234375
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,6,next_6_vol_bars,123,-6.633513957617748,-0.4670000286767664,0.002222024133727518,-0.04713835098651057,0.44715447154471544
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,6,next_6_vol_bars,125,-12.608192223683995,-0.7628878555559194,0.007072601396234224,-0.0840987597782174,0.48
TN,Ultra 10-Year U.S. Treasury Note,Rates,spread,6,next_6_vol_bars,125,-2.5985094260063457,-0.2194755279511348,0.0006117453610751111,-0.024733486634013025,0.472
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,12,next_12_vol_bars,117,0.8894407758792469,0.051775088664623235,2.288180485809921e-05,0.004783492955775222,0.47863247863247865
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,12,next_12_vol_bars,119,-21.775623563469228,-1.2306779182861343,0.011916453504505653,-0.1091625096106968,0.5210084033613446
TN,Ultra 10-Year U.S. Treasury Note,Rates,spread,12,next_12_vol_bars,119,-11.381355300984376,-1.0188054641318285,0.006550345194681784,-0.08093420287296083,0.5378151260504201
ZB,U.S. Treasury Bond,Rates,low,0,same_vol_bar,133,19.35788159870418,2.7297286870267183,0.022759526466558322,0.15086260791381803,0.556390977443609
ZB,U.S. Treasury Bond,Rates,high,0,same_vol_bar,133,80.37897520742787,11.051668180278785,0.35680799739338354,0.5973340751986141,0.7368421052631579
ZB,U.S. Treasury Bond,Rates,spread,0,same_vol_bar,133,32.403564839736084,3.8101859420461195,0.10574408317996165,0.3251831532843632,0.5939849624060151
ZB,U.S. Treasury Bond,Rates,low,1,next_1_vol_bar,132,-10.257415905869971,-1.3937001399657214,0.006268064196302436,-0.07917110708018767,0.4393939393939394
ZB,U.S. Treasury Bond,Rates,high,1,next_1_vol_bar,132,-4.899010940290024,-0.4278673825299505,0.001320507645665825,-0.0363387898211509,0.4772727272727273
ZB,U.S. Treasury Bond,Rates,spread,1,next_1_vol_bar,132,3.3827812812498843,0.4557238034010953,0.0011553232490127963,0.03399004632260801,0.5454545454545454
ZB,U.S. Treasury Bond,Rates,low,3,next_3_vol_bars,130,5.294383534197,0.3020733558608734,0.0007054521239213685,0.026560348716111834,0.5307692307692308
ZB,U.S. Treasury Bond,Rates,high,3,next_3_vol_bars,130,-20.186048512695788,-1.0673467734360833,0.009475499279692268,-0.09734217626338666,0.4461538461538462
ZB,U.S. Treasury Bond,Rates,spread,3,next_3_vol_bars,130,-14.12223876254254,-0.9697056539488502,0.00851081949583088,-0.09225410286719539,0.4307692307692308
ZB,U.S. Treasury Bond,Rates,low,6,next_6_vol_bars,127,0.25278465116937626,0.012660576643988706,9.04556104353027e-07,0.0009510815444850315,0.48031496062992124
ZB,U.S. Treasury Bond,Rates,high,6,next_6_vol_bars,127,-42.317175354176065,-1.8608284613572923,0.023579381061218596,-0.15355579136333009,0.3937007874015748
ZB,U.S. Treasury Bond,Rates,spread,6,next_6_vol_bars,127,-23.184067099720515,-1.1745069044645884,0.01300126076353203,-0.11402307118970317,0.4566929133858268
ZB,U.S. Treasury Bond,Rates,low,12,next_12_vol_bars,121,-28.95559705487604,-0.7453954302235145,0.007495281370011098,-0.08657529306916051,0.49586776859504134
ZB,U.S. Treasury Bond,Rates,high,12,next_12_vol_bars,121,-86.4690410545856,-3.3097677606686906,0.061818260262200164,-0.24863278195402985,0.3884297520661157
ZB,U.S. Treasury Bond,Rates,spread,12,next_12_vol_bars,121,-29.994014437112103,-1.3688718883966797,0.013679175890475959,-0.11695800909076685,0.4462809917355372
UB,Ultra U.S. Treasury Bond,Rates,low,0,same_vol_bar,136,14.501643499046773,1.6125873205408185,0.013532610229549547,0.11632974782724102,0.5441176470588235
UB,Ultra U.S. Treasury Bond,Rates,high,0,same_vol_bar,136,67.83848640062472,7.547993905094024,0.2801421417371971,0.5292845564884706,0.6470588235294118
UB,Ultra U.S. Treasury Bond,Rates,spread,0,same_vol_bar,136,26.54161222921717,4.810265636914613,0.08483676484201552,0.2912675142236354,0.5735294117647058
UB,Ultra U.S. Treasury Bond,Rates,low,1,next_1_vol_bar,135,-19.85000457095467,-2.3428881252780576,0.025456325571213467,-0.15955038568180713,0.4
UB,Ultra U.S. Treasury Bond,Rates,high,1,next_1_vol_bar,135,-11.644128955064192,-1.0587132552600391,0.008287439271718267,-0.09103537373855444,0.43703703703703706
UB,Ultra U.S. Treasury Bond,Rates,spread,1,next_1_vol_bar,135,4.7202928586491595,0.5940182726526567,0.002693906008078062,0.051902851637246304,0.4740740740740741
UB,Ultra U.S. Treasury Bond,Rates,low,3,next_3_vol_bars,133,-13.335263835033926,-0.9070335960937569,0.004842838038237041,-0.0695905025002477,0.48120300751879697
UB,Ultra U.S. Treasury Bond,Rates,high,3,next_3_vol_bars,133,0.9729281970377905,0.060850869210705386,2.4198758383553454e-05,0.004919223351658513,0.5639097744360902
UB,Ultra U.S. Treasury Bond,Rates,spread,3,next_3_vol_bars,133,7.688764753840086,0.6547413983435305,0.0029834895519577076,0.05462132872750329,0.5413533834586466
UB,Ultra U.S. Treasury Bond,Rates,low,6,next_6_vol_bars,130,7.937162460491474,0.37237730432904104,0.000977709981514252,0.03126835431413228,0.46923076923076923
UB,Ultra U.S. Treasury Bond,Rates,high,6,next_6_vol_bars,130,15.814039540346974,0.599099714304467,0.0036780550189405847,0.060646970401997624,0.4846153846153846
UB,Ultra U.S. Treasury Bond,Rates,spread,6,next_6_vol_bars,130,3.7852625807520575,0.26104636741045983,0.00041410896184101986,0.020349667364384226,0.46153846153846156
UB,Ultra U.S. Treasury Bond,Rates,low,12,next_12_vol_bars,124,19.39605361219067,0.7408429652023646,0.0038423854423813575,0.061986978006523,0.5080645161290323
UB,Ultra U.S. Treasury Bond,Rates,high,12,next_12_vol_bars,124,-26.46289207307927,-0.8072417832818644,0.006336949637958056,-0.07960495988289945,0.5161290322580645
UB,Ultra U.S. Treasury Bond,Rates,spread,12,next_12_vol_bars,124,-24.600339528103394,-1.0671535408850388,0.010764294350969483,-0.10375111734805309,0.4838709677419355
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,0,same_vol_bar,53,-8.619932770138591,-1.3285411842138557,0.017376049903195745,-0.13181824571430037,0.5094339622641509
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,0,same_vol_bar,53,6.92228986165024,1.1382405829420283,0.030344851469332634,0.17419773669405822,0.5094339622641509
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,spread,0,same_vol_bar,53,7.968482917308485,1.5713864997025062,0.05113392657505811,0.22612811982382414,0.5283018867924528
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,1,next_1_vol_bar,52,-4.544487769236541,-0.462944136332458,0.004420189404064967,-0.06648450499225285,0.4423076923076923
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,1,next_1_vol_bar,52,3.9329051695661383,0.9254408732273497,0.009356436323925577,0.09672867374220324,0.5576923076923077
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,spread,1,next_1_vol_bar,52,4.161991586603192,0.8229094351540601,0.013470013203000897,0.11606038601952508,0.4807692307692308
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,3,next_3_vol_bars,50,1.742609616951245,0.16590639948426936,0.0003282002940440121,0.01811629912659012,0.5
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,3,next_3_vol_bars,50,5.888404886448049,0.5419565119254487,0.011617075199867544,0.10778253661826576,0.52
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,spread,3,next_3_vol_bars,50,3.2228901941657595,0.3716202861201008,0.0044394101374582995,0.06662889866610705,0.62
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,6,next_6_vol_bars,47,21.50546163110577,1.1271006186785857,0.02436889059953362,0.15610538299345705,0.5531914893617021
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,6,next_6_vol_bars,47,7.497746899894881,0.5501123783079915,0.008280665910546325,0.09099816432514575,0.46808510638297873
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,spread,6,next_6_vol_bars,47,0.3118211186328774,0.02325770835991603,1.8207846241513614e-05,0.004267065296105352,0.574468085106383
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,12,next_12_vol_bars,41,9.299908675834061,0.3227203247120167,0.002091598668476413,0.04573399904312582,0.5609756097560976
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,12,next_12_vol_bars,42,8.001638356386204,0.5345557739646472,0.005114981916555794,0.07151910175998831,0.6190476190476191
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,spread,12,next_12_vol_bars,42,3.5255776546383024,0.19867705921282255,0.0012032652368957342,0.03468811376964278,0.6190476190476191
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,0,same_vol_bar,66,-1.2718964502775334,-0.25999768407544643,0.0014095874675946751,-0.037544473196394895,0.45454545454545453
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,0,same_vol_bar,61,-0.2739974509491706,-0.1477527936911224,0.00025023835737914,-0.015818924027225525,0.4426229508196721
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,spread,0,same_vol_bar,62,0.3650100083045592,0.2685157354404737,0.0004984768131234274,0.02232659430193983,0.41935483870967744
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,1,next_1_vol_bar,65,-0.34123387277690853,-0.07681397267608885,0.00010239760251640195,-0.010119170050760134,0.4307692307692308
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,1,next_1_vol_bar,60,0.1323368183994561,0.06218379837612198,5.762368764916648e-05,0.0075910267849060515,0.4
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,spread,1,next_1_vol_bar,61,0.13064065387116508,0.05438865665021807,6.132888318688412e-05,0.007831275961615588,0.4918032786885246
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,3,next_3_vol_bars,63,-6.9865505237439995,-1.459084700224356,0.016677724333147292,-0.12914226393070383,0.42857142857142855
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,3,next_3_vol_bars,58,-7.2415442310017495,-2.7832684179273794,0.06013180997301715,-0.24521788265340105,0.39655172413793105
