frequency,rank,start_ts,end_ts,peak_ts,start_md,peak_md,end_md,shock_threshold,normal_threshold,duration_minutes,dominant_signed_root,dominant_signed_share,plot
1h,1,2026-02-25T18:00:00+00:00,2026-02-25T19:00:00+00:00,2026-02-25T18:00:00+00:00,31.685634968689826,31.685634968689826,1.9434350712680064,5.144526631644099,2.529426841586289,60.0,GC,0.1938591592525133,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_01_20260225_1800_peak_md_31p69.png
1h,2,2024-10-23T23:00:00+00:00,2024-10-24T01:00:00+00:00,2024-10-23T23:00:00+00:00,18.346732044986584,18.346732044986584,1.7883749593586735,4.789385853603661,2.451810854734413,120.0,GC,0.0450428465352718,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_02_20241023_2300_peak_md_18p35.png
1h,3,2024-02-19T19:00:00+00:00,2024-02-19T23:00:00+00:00,2024-02-19T19:00:00+00:00,16.642986388466902,16.642986388466902,1.2678052365269692,5.064829443745721,2.5950591503249023,240.0,GC,0.0869595030990267,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_03_20240219_1900_peak_md_16p64.png
1h,4,2024-07-04T18:00:00+00:00,2024-07-04T22:00:00+00:00,2024-07-04T18:00:00+00:00,13.53741795442804,13.53741795442804,1.9152842162996493,6.007634290504599,2.7328329950339776,240.0,GC,0.1156189142507792,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_04_20240704_1800_peak_md_13p54.png
1h,5,2024-06-17T22:00:00+00:00,2024-06-17T23:00:00+00:00,2024-06-17T22:00:00+00:00,11.4669041755659,11.4669041755659,2.5466388082778404,5.156109486948657,2.5506128142029354,60.0,PL,0.0301403808476571,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_05_20240617_2200_peak_md_11p47.png
1h,6,2025-12-03T21:00:00+00:00,2025-12-04T00:00:00+00:00,2025-12-03T21:00:00+00:00,11.071283488713451,11.071283488713451,2.0299957019161927,5.644059924032938,2.746763636083048,180.0,GC,-0.0726010305627446,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_06_20251203_2100_peak_md_11p07.png
1h,7,2025-05-12T04:00:00+00:00,2025-05-12T05:00:00+00:00,2025-05-12T04:00:00+00:00,11.071179325523254,11.071179325523254,1.6767540205063016,4.7757582029038,2.2020603107994074,60.0,GC,0.0285290982803253,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_07_20250512_0400_peak_md_11p07.png
1h,8,2025-10-29T06:00:00+00:00,2025-10-29T09:00:00+00:00,2025-10-29T06:00:00+00:00,10.830295924154209,10.830295924154209,1.0387345819236122,4.294275165426251,2.1189817390013435,180.0,GC,0.0637292391941339,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_08_20251029_0600_peak_md_10p83.png
1h,9,2023-08-28T22:00:00+00:00,2023-08-29T01:00:00+00:00,2023-08-28T23:00:00+00:00,7.021304944446621,10.572905492745685,1.684567043624978,4.822927619177991,2.631391534484464,180.0,SI,-0.0751163336058966,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_09_20230828_2200_peak_md_10p57.png
1h,10,2026-02-16T17:00:00+00:00,2026-02-16T23:00:00+00:00,2026-02-16T17:00:00+00:00,10.415335525686986,10.415335525686986,2.18735415995744,4.846447431894764,2.4022272252866577,360.0,SI,0.0180811919848819,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/1h/1h_top_10_20260216_1700_peak_md_10p42.png
5m,1,2023-08-28T22:55:00+00:00,2023-08-28T23:20:00+00:00,2023-08-28T23:15:00+00:00,8.409661799402858,34.034499026389256,2.0469609571694165,6.9422601376045785,2.388192428910556,25.0,PL,0.0919322130207706,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_01_20230828_2255_peak_md_34p03.png
5m,2,2023-09-14T22:45:00+00:00,2023-09-14T23:00:00+00:00,2023-09-14T22:55:00+00:00,22.477739005328928,33.56981621610898,1.029605924763692,6.999990997755132,2.3318155783636483,15.0,PA,0.1368484472156381,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_02_20230914_2245_peak_md_33p57.png
5m,3,2025-05-12T04:50:00+00:00,2025-05-12T04:55:00+00:00,2025-05-12T04:50:00+00:00,30.368632432475707,30.368632432475707,1.933157567936031,6.09562366495769,2.0635295631404658,5.0,PL,0.1955852819467952,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_03_20250512_0450_peak_md_30p37.png
5m,4,2025-11-27T17:55:00+00:00,2025-11-28T00:10:00+00:00,2025-11-27T18:40:00+00:00,13.98672847247198,29.43403480818457,1.4281556229218042,6.550943719745642,2.5125172625846437,375.0,PA,0.0489278442891398,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_04_20251127_1755_peak_md_29p43.png
5m,5,2023-09-13T22:35:00+00:00,2023-09-13T22:45:00+00:00,2023-09-13T22:35:00+00:00,29.22184175293568,29.22184175293568,1.8625301916852035,6.95985568676207,2.3330993855963693,10.0,PL,0.3836288890218738,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_05_20230913_2235_peak_md_29p22.png
5m,6,2025-06-26T02:10:00+00:00,2025-06-26T02:40:00+00:00,2025-06-26T02:10:00+00:00,26.10111161974847,26.10111161974847,1.571377788952399,7.08080851082603,2.450087658541198,30.0,PA,0.1140278655357063,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_06_20250626_0210_peak_md_26p10.png
5m,7,2026-04-27T20:10:00+00:00,2026-04-27T20:45:00+00:00,2026-04-27T20:10:00+00:00,23.8402231358713,23.8402231358713,0.6524612752356022,6.917278150534992,2.501149016904172,35.0,PL,0.1615786795349044,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_07_20260427_2010_peak_md_23p84.png
5m,8,2024-04-28T23:45:00+00:00,2024-04-28T23:55:00+00:00,2024-04-28T23:45:00+00:00,23.2215589423625,23.2215589423625,1.855733060086288,5.626530551323604,2.085445572715372,10.0,GC,0.1110942685859849,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_08_20240428_2345_peak_md_23p22.png
5m,9,2023-08-17T22:55:00+00:00,2023-08-17T23:00:00+00:00,2023-08-17T22:55:00+00:00,22.80682487863573,22.80682487863573,1.478243017025174,6.417853321187507,2.2945541575344537,5.0,PL,0.2185923527139843,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_09_20230817_2255_peak_md_22p81.png
5m,10,2026-05-19T10:15:00+00:00,2026-05-19T10:35:00+00:00,2026-05-19T10:25:00+00:00,7.859645424079487,22.61131411280764,0.5896964567592543,6.339442921701863,2.4565939660197222,20.0,GC,-0.0668002184079642,/home/famadeo/quant-lab/notebooks/explorations/assets/2026-06-25_metals_md_top_dislocation_paths_rolling30d/5m/5m_top_10_20260519_1015_peak_md_22p61.png
